well,start_date,end_date,baseline_before,baseline_during,min_q,max_q,duration_days
1176,26-10-2023,12-11-2023,138,181,175,193,18
1176,13-11-2023,20-11-2023,181,237,212,246,8
1176,21-11-2023,01-01-2024,237,171,168,184,42
1176,02-01-2024,01-02-2024,171,72,72,72,31
1176,02-02-2024,01-03-2024,72,135,135,135,29
1176,02-03-2024,09-03-2024,135,158,149,162,8
1176,10-03-2024,21-03-2024,158,412,385,448,12
1176,22-03-2024,14-04-2024,412,212,185,221,24
1176,15-04-2024,27-06-2024,212,63,61,64,74
1176,28-06-2024,09-07-2024,63,181,0,0,12
1176,10-07-2024,12-11-2024,181,147,129,157,126
1176,13-11-2024,26-11-2024,147,87,78,91,14
1176,27-11-2024,01-05-2025,87,165,154,171,156
1311,09-07-2023,21-08-2023,123,163,140,180,44
1311,22-08-2023,03-09-2023,163,118,116,126,13
1311,04-09-2023,11-09-2023,118,148,0,0,8
1311,12-09-2023,11-11-2023,148,138,124,164,61
1311,12-11-2023,22-12-2023,138,183,167,197,41
1311,23-12-2023,13-03-2024,183,296,266,312,82
1311,14-03-2024,07-04-2024,296,196,172,217,25
1311,08-04-2024,03-09-2024,196,318,296,350,149
1311,04-09-2024,19-03-2025,318,446,402,483,197
1311,20-03-2025,21-04-2025,446,138,121,173,33
1311,22-04-2025,01-05-2025,138,40,38,43,10
1329,30-06-2023,26-07-2023,220,359,327,413,27
1329,27-07-2023,21-08-2023,359,275,258,313,26
1329,22-08-2023,12-09-2023,275,388,0,0,22
1329,13-09-2023,22-11-2023,388,325,292,343,71
1329,23-11-2023,13-03-2024,325,166,157,178,112
1329,14-03-2024,04-05-2024,166,198,175,242,52
1329,05-05-2024,29-05-2024,198,359,318,398,25
1329,30-05-2024,14-12-2024,359,247,214,253,199
1329,15-12-2024,28-12-2024,247,151,146,155,14
1329,29-12-2024,17-01-2025,151,245,234,252,20
1329,18-01-2025,21-02-2025,245,320,286,365,35
1329,22-02-2025,07-03-2025,320,400,363,426,14
1329,08-03-2025,21-03-2025,400,294,260,337,14
1329,22-03-2025,07-04-2025,294,368,327,399,17
1329,08-04-2025,16-04-2025,368,128,0,0,9
1329,17-04-2025,01-05-2025,128,128,102,135,15
1325,02-06-2023,14-06-2023,0,98,94,104,13
1325,15-06-2023,01-07-2023,98,139,126,155,17
1325,02-07-2023,17-07-2023,139,59,53,66,16
1325,18-07-2023,28-07-2023,59,102,90,132,11
1325,29-07-2023,21-08-2023,102,158,0,0,24
1325,22-08-2023,03-09-2023,158,153,139,163,13
1325,04-09-2023,28-09-2023,153,190,0,0,25
1325,29-09-2023,21-01-2024,190,197,176,202,115
1325,22-01-2024,05-03-2024,197,391,353,405,44
1325,06-03-2024,08-08-2024,391,251,250,260,156
1325,09-08-2024,08-10-2024,251,302,266,332,61
1325,09-10-2024,01-05-2025,302,70,66,73,205
1344,29-06-2023,28-07-2023,0,230,214,260,30
1344,29-07-2023,11-08-2023,230,230,0,0,14
1344,12-08-2023,04-09-2023,230,230,201,245,24
1344,05-09-2023,13-09-2023,230,228,0,0,9
1344,14-09-2023,02-06-2024,228,204,187,210,263
1344,03-06-2024,09-10-2024,204,103,0,0,129
1344,10-10-2024,27-03-2025,103,100,95,104,169
1344,28-03-2025,01-05-2025,100,315,300,321,35
1346,05-06-2023,22-12-2023,0,110,108,111,201
1346,23-12-2023,11-01-2024,110,64,57,71,20
1346,12-01-2024,22-01-2024,64,113,112,114,11
1346,23-01-2024,05-03-2024,113,57,52,64,43
1346,06-03-2024,08-07-2024,57,151,150,159,125
1346,09-07-2024,04-09-2024,151,215,188,231,58
1346,05-09-2024,12-09-2024,215,187,0,0,8
1346,13-09-2024,17-04-2025,187,180,171,186,217
1346,18-04-2025,01-05-2025,180,0,0,0,14
1447,06-08-2023,05-10-2023,186,242,236,247,61
1447,06-10-2023,03-06-2024,242,176,171,183,242
1447,04-06-2024,07-10-2024,176,186,0,0,126
1447,08-10-2024,06-03-2025,186,172,167,176,150
1447,07-03-2025,01-05-2025,172,0,0,0,56
1459,28-06-2023,31-07-2023,0,134,130,141,34
